model,prompt_id,layer,alpha,beta,action_confidence,action_label,mean_p_closure,mean_entropy,gate_open
qwen,arith_ctx_034_untrusted_conflict,16,0.0,0.0,0.9923037735056792,a0.0_b0.0_confidence_gate,0.1716424911259286,0.6237601109506721,False
qwen,arith_ctx_034_untrusted_conflict,17,0.0,0.0,0.9757070598448496,a0.0_b0.0_confidence_gate,0.1716424911259286,0.6237601109506721,False
qwen,arith_ctx_034_untrusted_conflict,18,0.0,0.0,0.9538976895175564,a0.0_b0.0_confidence_gate,0.1716424911259286,0.6237601109506721,False
qwen,arith_ctx_034_untrusted_conflict,19,0.0,0.0,0.9910655593924766,a0.0_b0.0_confidence_gate,0.1716424911259286,0.6237601109506721,False
qwen,arith_ctx_034_asserted_conflict,15,0.0,0.0,0.9370844206473512,a0.0_b0.0_confidence_gate,0.2207468901632117,0.7227014609625417,False
qwen,arith_ctx_034_asserted_conflict,16,0.0,0.0,0.8853700548954295,a0.0_b0.0_confidence_gate,0.2207468901632117,0.7227014609625417,False
qwen,arith_ctx_034_asserted_conflict,17,0.0,0.0,0.8727080078487637,a0.0_b0.0_confidence_gate,0.2207468901632117,0.7227014609625417,False
qwen,arith_ctx_034_asserted_conflict,18,0.0,0.0,0.7213609707365278,a0.0_b0.0_confidence_gate,0.2207468901632117,0.7227014609625417,False
qwen,arith_ctx_034_asserted_conflict,19,0.0,0.0,0.4810800945820698,a0.0_b0.0_confidence_gate,0.2207468901632117,0.7227014609625417,False
qwen,arith_ctx_034_explicit_correction,15,1.0,0.6,0.423710628183339,a1.0_b0.6,0.6519207181576998,0.6888761932294896,True
qwen,arith_ctx_034_explicit_correction,16,0.3,0.3,0.3150891012832422,a0.3_b0.3,0.6519207181576998,0.6888761932294896,True
qwen,arith_ctx_034_explicit_correction,17,0.0,0.0,0.8608941932756156,a0.0_b0.0,0.6519207181576998,0.6888761932294896,True
qwen,arith_ctx_034_explicit_correction,18,1.0,0.6,0.4238757414008469,a1.0_b0.6,0.6519207181576998,0.6888761932294896,True
qwen,arith_ctx_034_explicit_correction,19,1.0,0.6,0.4592225569420824,a1.0_b0.6,0.6519207181576998,0.6888761932294896,True
qwen,arith_ctx_034_final_recheck,15,0.3,0.3,0.4880285899437375,a0.3_b0.3,0.5615878593019282,0.6532695800409332,True
qwen,arith_ctx_034_final_recheck,16,0.3,0.3,0.5078545315530492,a0.3_b0.3,0.5615878593019282,0.6532695800409332,True
qwen,arith_ctx_034_final_recheck,17,0.0,0.0,0.6839630477123093,a0.0_b0.0,0.5615878593019282,0.6532695800409332,True
qwen,arith_ctx_034_final_recheck,18,0.3,0.3,0.6538961679593873,a0.3_b0.3,0.5615878593019282,0.6532695800409332,True
qwen,arith_ctx_034_final_recheck,19,0.3,0.3,0.6363950494868932,a0.3_b0.3,0.5615878593019282,0.6532695800409332,True
qwen,arith_ctx_038_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.007875985754694,0.0627390600220677,False
qwen,arith_ctx_038_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.007875985754694,0.0627390600220677,False
qwen,arith_ctx_038_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.007875985754694,0.0627390600220677,False
qwen,arith_ctx_038_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.007875985754694,0.0627390600220677,False
qwen,arith_ctx_038_clean,19,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.007875985754694,0.0627390600220677,False
qwen,arith_ctx_038_paraphrase,15,0.0,0.0,0.990589313126796,a0.0_b0.0_confidence_gate,0.0830800010337009,0.4237808791614322,False
qwen,arith_ctx_038_paraphrase,16,0.0,0.0,0.9940100667969526,a0.0_b0.0_confidence_gate,0.0830800010337009,0.4237808791614322,False
qwen,arith_ctx_038_paraphrase,17,0.0,0.0,0.993894979984266,a0.0_b0.0_confidence_gate,0.0830800010337009,0.4237808791614322,False
qwen,arith_ctx_038_paraphrase,18,0.0,0.0,0.993894979984266,a0.0_b0.0_confidence_gate,0.0830800010337009,0.4237808791614322,False
qwen,arith_ctx_038_paraphrase,19,0.0,0.0,0.9845886200753462,a0.0_b0.0_confidence_gate,0.0830800010337009,0.4237808791614322,False
qwen,arith_ctx_038_untrusted_conflict,15,0.0,0.0,0.9947416353549836,a0.0_b0.0_confidence_gate,0.1840917959840428,0.5241002391709845,False
qwen,arith_ctx_038_untrusted_conflict,16,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.1840917959840428,0.5241002391709845,False
qwen,arith_ctx_038_untrusted_conflict,17,0.0,0.0,0.975692040100882,a0.0_b0.0_confidence_gate,0.1840917959840428,0.5241002391709845,False
qwen,arith_ctx_038_untrusted_conflict,18,0.0,0.0,0.9983807470860192,a0.0_b0.0_confidence_gate,0.1840917959840428,0.5241002391709845,False
qwen,arith_ctx_038_untrusted_conflict,19,0.0,0.0,0.9930540258261288,a0.0_b0.0_confidence_gate,0.1840917959840428,0.5241002391709845,False
qwen,arith_ctx_038_asserted_conflict,15,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.2984931762562807,0.7295337959321512,False
qwen,arith_ctx_038_asserted_conflict,16,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.2984931762562807,0.7295337959321512,False
qwen,arith_ctx_038_asserted_conflict,17,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.2984931762562807,0.7295337959321512,False
qwen,arith_ctx_038_asserted_conflict,18,0.0,0.0,0.7157741581583701,a0.0_b0.0_confidence_gate,0.2984931762562807,0.7295337959321512,False
qwen,arith_ctx_038_asserted_conflict,19,0.0,0.0,0.5176667846443468,a0.0_b0.0_confidence_gate,0.2984931762562807,0.7295337959321512,False
qwen,arith_ctx_038_explicit_correction,15,1.0,0.6,0.4977694063327532,a1.0_b0.6,0.8884952138597676,0.3847276082877675,True
qwen,arith_ctx_038_explicit_correction,16,1.0,0.6,0.4985477817594859,a1.0_b0.6,0.8884952138597676,0.3847276082877675,True
qwen,arith_ctx_038_explicit_correction,17,1.0,0.6,0.6600103381572979,a1.0_b0.6,0.8884952138597676,0.3847276082877675,True
qwen,arith_ctx_038_explicit_correction,18,1.0,0.6,0.5786732330660534,a1.0_b0.6,0.8884952138597676,0.3847276082877675,True
qwen,arith_ctx_038_explicit_correction,19,1.0,0.6,0.5110695505289893,a1.0_b0.6,0.8884952138597676,0.3847276082877675,True
qwen,arith_ctx_038_final_recheck,15,1.0,0.6,0.5089698097380458,a1.0_b0.6,0.8282942229189088,0.3958647045228093,True
qwen,arith_ctx_038_final_recheck,16,1.0,0.6,0.4741854768963071,a1.0_b0.6,0.8282942229189088,0.3958647045228093,True
qwen,arith_ctx_038_final_recheck,17,1.0,0.6,0.4490704799115568,a1.0_b0.6,0.8282942229189088,0.3958647045228093,True
qwen,arith_ctx_038_final_recheck,18,0.3,0.3,0.5130606128186073,a0.3_b0.3,0.8282942229189088,0.3958647045228093,True
qwen,arith_ctx_038_final_recheck,19,0.3,0.3,0.5019007652968575,a0.3_b0.3,0.8282942229189088,0.3958647045228093,True
qwen,arith_ctx_040_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0329572246880192,0.2669010160103728,False
qwen,arith_ctx_040_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0329572246880192,0.2669010160103728,False
qwen,arith_ctx_040_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0329572246880192,0.2669010160103728,False
qwen,arith_ctx_040_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0329572246880192,0.2669010160103728,False
qwen,arith_ctx_040_clean,19,0.0,0.0,0.8924462210896627,a0.0_b0.0_confidence_gate,0.0329572246880192,0.2669010160103728,False
qwen,arith_ctx_040_paraphrase,15,0.0,0.0,0.993894979984266,a0.0_b0.0_confidence_gate,0.0907423449727871,0.5462339340012741,False
qwen,arith_ctx_040_paraphrase,16,0.0,0.0,0.993894979984266,a0.0_b0.0_confidence_gate,0.0907423449727871,0.5462339340012741,False
qwen,arith_ctx_040_paraphrase,17,0.0,0.0,0.9596315383519068,a0.0_b0.0_confidence_gate,0.0907423449727871,0.5462339340012741,False
qwen,arith_ctx_040_paraphrase,18,0.0,0.0,0.9936076926969788,a0.0_b0.0_confidence_gate,0.0907423449727871,0.5462339340012741,False
qwen,arith_ctx_040_paraphrase,19,0.0,0.0,0.9950806764586152,a0.0_b0.0_confidence_gate,0.0907423449727871,0.5462339340012741,False
qwen,arith_ctx_040_untrusted_conflict,15,0.0,0.0,0.9929308258349112,a0.0_b0.0_confidence_gate,0.2245675495777751,0.535830327044261,False
qwen,arith_ctx_040_untrusted_conflict,16,0.0,0.0,0.9858036980285522,a0.0_b0.0_confidence_gate,0.2245675495777751,0.535830327044261,False
qwen,arith_ctx_040_untrusted_conflict,17,0.0,0.0,0.9842613181784408,a0.0_b0.0_confidence_gate,0.2245675495777751,0.535830327044261,False
qwen,arith_ctx_040_untrusted_conflict,18,0.0,0.0,0.7560849946102143,a0.0_b0.0_confidence_gate,0.2245675495777751,0.535830327044261,False
qwen,arith_ctx_040_untrusted_conflict,19,0.0,0.0,0.612047442444701,a0.0_b0.0_confidence_gate,0.2245675495777751,0.535830327044261,False
qwen,arith_ctx_040_asserted_conflict,15,0.0,0.0,0.8170369580878986,a0.0_b0.0,0.5985105715286017,0.582009687090122,True
qwen,arith_ctx_040_asserted_conflict,16,1.0,0.6,0.4110085060704586,a1.0_b0.6,0.5985105715286017,0.582009687090122,True
qwen,arith_ctx_040_asserted_conflict,17,0.3,0.3,0.4559885506186546,a0.3_b0.3,0.5985105715286017,0.582009687090122,True
qwen,arith_ctx_040_asserted_conflict,18,0.3,0.3,0.4089970960199251,a0.3_b0.3,0.5985105715286017,0.582009687090122,True
qwen,arith_ctx_040_asserted_conflict,19,0.3,0.3,0.4726915685065584,a0.3_b0.3,0.5985105715286017,0.582009687090122,True
qwen,arith_ctx_040_explicit_correction,15,1.0,0.6,0.492534833865742,a1.0_b0.6,0.9643659155245696,0.1521081182148528,True
qwen,arith_ctx_040_explicit_correction,16,0.3,0.3,0.4884177639816245,a0.3_b0.3,0.9643659155245696,0.1521081182148528,True
qwen,arith_ctx_040_explicit_correction,17,1.0,0.6,0.477301991541154,a1.0_b0.6,0.9643659155245696,0.1521081182148528,True
qwen,arith_ctx_040_explicit_correction,18,1.0,0.6,0.478698689191217,a1.0_b0.6,0.9643659155245696,0.1521081182148528,True
qwen,arith_ctx_040_explicit_correction,19,1.0,0.6,0.4255214849108237,a1.0_b0.6,0.9643659155245696,0.1521081182148528,True
qwen,arith_ctx_040_final_recheck,15,0.3,0.3,0.7110359060767721,a0.3_b0.3,0.876219844772731,0.3665854119901689,True
qwen,arith_ctx_040_final_recheck,16,0.3,0.3,0.6984561145405105,a0.3_b0.3,0.876219844772731,0.3665854119901689,True
qwen,arith_ctx_040_final_recheck,17,0.3,0.3,0.8296797275957054,a0.3_b0.3,0.876219844772731,0.3665854119901689,True
qwen,arith_ctx_040_final_recheck,18,0.3,0.3,0.8186254450944435,a0.3_b0.3,0.876219844772731,0.3665854119901689,True
qwen,arith_ctx_040_final_recheck,19,0.3,0.3,0.7869139582974705,a0.3_b0.3,0.876219844772731,0.3665854119901689,True
qwen,arith_ctx_043_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0086928177710142,0.1236846670809304,False
qwen,arith_ctx_043_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0086928177710142,0.1236846670809304,False
qwen,arith_ctx_043_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0086928177710142,0.1236846670809304,False
qwen,arith_ctx_043_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0086928177710142,0.1236846670809304,False
qwen,arith_ctx_043_clean,19,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0086928177710142,0.1236846670809304,False
qwen,arith_ctx_043_paraphrase,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.1158537646150053,0.6519762272976891,False
qwen,arith_ctx_043_paraphrase,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.1158537646150053,0.6519762272976891,False
qwen,arith_ctx_043_paraphrase,17,0.0,0.0,0.9803552790119828,a0.0_b0.0_confidence_gate,0.1158537646150053,0.6519762272976891,False
qwen,arith_ctx_043_paraphrase,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.1158537646150053,0.6519762272976891,False
qwen,arith_ctx_043_paraphrase,19,0.0,0.0,0.9965528003359329,a0.0_b0.0_confidence_gate,0.1158537646150053,0.6519762272976891,False
qwen,arith_ctx_043_untrusted_conflict,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.1277932330418285,0.7165372481556344,False
qwen,arith_ctx_043_untrusted_conflict,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.1277932330418285,0.7165372481556344,False
qwen,arith_ctx_043_untrusted_conflict,17,0.0,0.0,0.9943570143186808,a0.0_b0.0_confidence_gate,0.1277932330418285,0.7165372481556344,False
qwen,arith_ctx_043_untrusted_conflict,18,0.0,0.0,0.9940697270313932,a0.0_b0.0_confidence_gate,0.1277932330418285,0.7165372481556344,False
qwen,arith_ctx_043_untrusted_conflict,19,0.0,0.0,0.993558318620382,a0.0_b0.0_confidence_gate,0.1277932330418285,0.7165372481556344,False
qwen,arith_ctx_043_asserted_conflict,15,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0725160998634708,0.4927876642896219,False
qwen,arith_ctx_043_asserted_conflict,16,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0725160998634708,0.4927876642896219,False
qwen,arith_ctx_043_asserted_conflict,17,0.0,0.0,0.9979019823788546,a0.0_b0.0_confidence_gate,0.0725160998634708,0.4927876642896219,False
qwen,arith_ctx_043_asserted_conflict,18,0.0,0.0,0.9979019823788546,a0.0_b0.0_confidence_gate,0.0725160998634708,0.4927876642896219,False
qwen,arith_ctx_043_asserted_conflict,19,0.0,0.0,0.9979019823788546,a0.0_b0.0_confidence_gate,0.0725160998634708,0.4927876642896219,False
qwen,arith_ctx_043_explicit_correction,15,0.0,0.0,0.5082858031039285,a0.0_b0.0,0.5014833737112511,0.6768940236005457,True
qwen,arith_ctx_043_explicit_correction,16,0.0,0.0,0.4648014127587215,a0.0_b0.0,0.5014833737112511,0.6768940236005457,True
qwen,arith_ctx_043_explicit_correction,17,0.0,0.0,0.8801245266638891,a0.0_b0.0,0.5014833737112511,0.6768940236005457,True
qwen,arith_ctx_043_explicit_correction,18,0.0,0.0,0.9838588617559044,a0.0_b0.0,0.5014833737112511,0.6768940236005457,True
qwen,arith_ctx_043_explicit_correction,19,0.0,0.0,0.9968140501612724,a0.0_b0.0,0.5014833737112511,0.6768940236005457,True
qwen,arith_ctx_043_final_recheck,15,0.0,0.0,0.4292292745309676,a0.0_b0.0,0.5715759304303881,0.6392671042975031,True
qwen,arith_ctx_043_final_recheck,16,0.0,0.0,0.5067135402668698,a0.0_b0.0,0.5715759304303881,0.6392671042975031,True
qwen,arith_ctx_043_final_recheck,17,0.0,0.0,0.8852017330389035,a0.0_b0.0,0.5715759304303881,0.6392671042975031,True
qwen,arith_ctx_043_final_recheck,18,0.0,0.0,0.966548637943806,a0.0_b0.0,0.5715759304303881,0.6392671042975031,True
qwen,arith_ctx_043_final_recheck,19,0.0,0.0,0.8611515648972545,a0.0_b0.0,0.5715759304303881,0.6392671042975031,True
qwen,arith_ctx_048_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.003026473143662,0.0420332639479869,False
qwen,arith_ctx_048_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.003026473143662,0.0420332639479869,False
qwen,arith_ctx_048_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.003026473143662,0.0420332639479869,False
qwen,arith_ctx_048_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.003026473143662,0.0420332639479869,False
qwen,arith_ctx_048_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.003026473143662,0.0420332639479869,False
qwen,arith_ctx_048_paraphrase,15,0.0,0.0,0.9875063747063504,a0.0_b0.0_confidence_gate,0.1636400499992273,0.6202268680477063,False
qwen,arith_ctx_048_paraphrase,16,0.0,0.0,0.9892627660343792,a0.0_b0.0_confidence_gate,0.1636400499992273,0.6202268680477063,False
qwen,arith_ctx_048_paraphrase,17,0.0,0.0,0.9952225700917178,a0.0_b0.0_confidence_gate,0.1636400499992273,0.6202268680477063,False
qwen,arith_ctx_048_paraphrase,18,0.0,0.0,0.9952225700917178,a0.0_b0.0_confidence_gate,0.1636400499992273,0.6202268680477063,False
qwen,arith_ctx_048_paraphrase,19,0.0,0.0,0.9829090558774766,a0.0_b0.0_confidence_gate,0.1636400499992273,0.6202268680477063,False
qwen,arith_ctx_048_untrusted_conflict,15,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0691476984602646,0.3817330227780138,False
qwen,arith_ctx_048_untrusted_conflict,16,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0691476984602646,0.3817330227780138,False
qwen,arith_ctx_048_untrusted_conflict,17,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0691476984602646,0.3817330227780138,False
qwen,arith_ctx_048_untrusted_conflict,18,0.0,0.0,0.9994151152865284,a0.0_b0.0_confidence_gate,0.0691476984602646,0.3817330227780138,False
qwen,arith_ctx_048_untrusted_conflict,19,0.0,0.0,0.9819386631597964,a0.0_b0.0_confidence_gate,0.0691476984602646,0.3817330227780138,False
qwen,arith_ctx_048_asserted_conflict,15,0.0,0.0,0.9930188084444832,a0.0_b0.0_confidence_gate,0.1360051859439202,0.4821068411498251,False
qwen,arith_ctx_048_asserted_conflict,16,0.0,0.0,0.9874893544865956,a0.0_b0.0_confidence_gate,0.1360051859439202,0.4821068411498251,False
qwen,arith_ctx_048_asserted_conflict,17,0.0,0.0,0.9935915111226832,a0.0_b0.0_confidence_gate,0.1360051859439202,0.4821068411498251,False
qwen,arith_ctx_048_asserted_conflict,18,0.0,0.0,0.9880914721554136,a0.0_b0.0_confidence_gate,0.1360051859439202,0.4821068411498251,False
qwen,arith_ctx_048_asserted_conflict,19,0.0,0.0,0.9947278932062212,a0.0_b0.0_confidence_gate,0.1360051859439202,0.4821068411498251,False
qwen,arith_ctx_048_explicit_correction,15,0.3,0.3,0.3468902554775439,a0.3_b0.3,0.7667599992063312,0.4324764372662103,True
qwen,arith_ctx_048_explicit_correction,16,0.3,0.3,0.3405607177336858,a0.3_b0.3,0.7667599992063312,0.4324764372662103,True
qwen,arith_ctx_048_explicit_correction,17,0.3,0.3,0.3487422959149783,a0.3_b0.3,0.7667599992063312,0.4324764372662103,True
qwen,arith_ctx_048_explicit_correction,18,1.0,0.6,0.5081932493221157,a1.0_b0.6,0.7667599992063312,0.4324764372662103,True
qwen,arith_ctx_048_explicit_correction,19,0.0,0.0,0.7821616789966112,a0.0_b0.0,0.7667599992063312,0.4324764372662103,True
qwen,arith_ctx_048_final_recheck,15,1.0,0.6,0.5530947764433107,a1.0_b0.6,0.8679304860454071,0.3403406748629004,True
qwen,arith_ctx_048_final_recheck,16,1.0,0.6,0.5048043285950495,a1.0_b0.6,0.8679304860454071,0.3403406748629004,True
qwen,arith_ctx_048_final_recheck,17,1.0,0.6,0.4985330786754013,a1.0_b0.6,0.8679304860454071,0.3403406748629004,True
qwen,arith_ctx_048_final_recheck,18,1.0,0.6,0.5961411027114366,a1.0_b0.6,0.8679304860454071,0.3403406748629004,True
qwen,arith_ctx_048_final_recheck,19,1.0,0.6,0.4930051013170948,a1.0_b0.6,0.8679304860454071,0.3403406748629004,True
qwen,arith_ctx_051_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0004218203254523,0.0207588455707478,False
qwen,arith_ctx_051_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0004218203254523,0.0207588455707478,False
qwen,arith_ctx_051_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0004218203254523,0.0207588455707478,False
qwen,arith_ctx_051_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0004218203254523,0.0207588455707478,False
qwen,arith_ctx_051_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.0004218203254523,0.0207588455707478,False
qwen,arith_ctx_051_paraphrase,15,0.0,0.0,0.990805183637835,a0.0_b0.0_confidence_gate,0.1024015581026453,0.6291158243128983,False
qwen,arith_ctx_051_paraphrase,16,0.0,0.0,0.990805183637835,a0.0_b0.0_confidence_gate,0.1024015581026453,0.6291158243128983,False
qwen,arith_ctx_051_paraphrase,17,0.0,0.0,0.990805183637835,a0.0_b0.0_confidence_gate,0.1024015581026453,0.6291158243128983,False
qwen,arith_ctx_051_paraphrase,18,0.0,0.0,0.9859246317801562,a0.0_b0.0_confidence_gate,0.1024015581026453,0.6291158243128983,False
qwen,arith_ctx_051_paraphrase,19,0.0,0.0,0.9777747183568236,a0.0_b0.0_confidence_gate,0.1024015581026453,0.6291158243128983,False
qwen,arith_ctx_051_untrusted_conflict,15,0.0,0.0,0.9947416353549836,a0.0_b0.0_confidence_gate,0.0913755241268579,0.3954704447587845,False
qwen,arith_ctx_051_untrusted_conflict,16,0.0,0.0,0.9947416353549836,a0.0_b0.0_confidence_gate,0.0913755241268579,0.3954704447587845,False
qwen,arith_ctx_051_untrusted_conflict,17,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0913755241268579,0.3954704447587845,False
qwen,arith_ctx_051_untrusted_conflict,18,0.0,0.0,0.998453479748921,a0.0_b0.0_confidence_gate,0.0913755241268579,0.3954704447587845,False
qwen,arith_ctx_051_untrusted_conflict,19,0.0,0.0,0.9948546414821844,a0.0_b0.0_confidence_gate,0.0913755241268579,0.3954704447587845,False
qwen,arith_ctx_051_asserted_conflict,15,0.0,0.0,0.995536886832323,a0.0_b0.0_confidence_gate,0.143751215559391,0.7302148505527655,False
qwen,arith_ctx_051_asserted_conflict,16,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.143751215559391,0.7302148505527655,False
qwen,arith_ctx_051_asserted_conflict,17,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.143751215559391,0.7302148505527655,False
qwen,arith_ctx_051_asserted_conflict,18,0.0,0.0,0.9952495995450356,a0.0_b0.0_confidence_gate,0.143751215559391,0.7302148505527655,False
qwen,arith_ctx_051_asserted_conflict,19,0.0,0.0,0.9492278876781832,a0.0_b0.0_confidence_gate,0.143751215559391,0.7302148505527655,False
qwen,arith_ctx_051_explicit_correction,15,1.0,0.6,0.4890575543848014,a1.0_b0.6,0.7144443160517933,0.561978685647025,True
qwen,arith_ctx_051_explicit_correction,16,1.0,0.6,0.4554452137800445,a1.0_b0.6,0.7144443160517933,0.561978685647025,True
qwen,arith_ctx_051_explicit_correction,17,0.0,0.0,0.41736260366564,a0.0_b0.0,0.7144443160517933,0.561978685647025,True
qwen,arith_ctx_051_explicit_correction,18,0.0,0.0,0.4328685350345653,a0.0_b0.0,0.7144443160517933,0.561978685647025,True
qwen,arith_ctx_051_explicit_correction,19,0.0,0.0,0.8094817254480133,a0.0_b0.0,0.7144443160517933,0.561978685647025,True
qwen,arith_ctx_051_final_recheck,15,1.0,0.6,0.628315049660635,a1.0_b0.6,0.7321903682133443,0.5679564852904563,True
qwen,arith_ctx_051_final_recheck,16,1.0,0.6,0.5993323490056829,a1.0_b0.6,0.7321903682133443,0.5679564852904563,True
qwen,arith_ctx_051_final_recheck,17,1.0,0.6,0.4984556588774453,a1.0_b0.6,0.7321903682133443,0.5679564852904563,True
qwen,arith_ctx_051_final_recheck,18,0.0,0.0,0.3909256129367335,a0.0_b0.0,0.7321903682133443,0.5679564852904563,True
qwen,arith_ctx_051_final_recheck,19,1.0,0.6,0.4182993573216016,a1.0_b0.6,0.7321903682133443,0.5679564852904563,True
qwen,arith_ctx_054_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0108167270294607,0.3226641705533614,False
qwen,arith_ctx_054_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0108167270294607,0.3226641705533614,False
qwen,arith_ctx_054_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0108167270294607,0.3226641705533614,False
qwen,arith_ctx_054_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0108167270294607,0.3226641705533614,False
qwen,arith_ctx_054_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.0108167270294607,0.3226641705533614,False
qwen,arith_ctx_054_paraphrase,15,0.0,0.0,0.98381482736823,a0.0_b0.0_confidence_gate,0.0860265880452978,0.6284038113435286,False
qwen,arith_ctx_054_paraphrase,16,0.0,0.0,0.9846164981462172,a0.0_b0.0_confidence_gate,0.0860265880452978,0.6284038113435286,False
qwen,arith_ctx_054_paraphrase,17,0.0,0.0,0.9868166013366492,a0.0_b0.0_confidence_gate,0.0860265880452978,0.6284038113435286,False
qwen,arith_ctx_054_paraphrase,18,0.0,0.0,0.992294516560314,a0.0_b0.0_confidence_gate,0.0860265880452978,0.6284038113435286,False
qwen,arith_ctx_054_paraphrase,19,0.0,0.0,0.980700976719564,a0.0_b0.0_confidence_gate,0.0860265880452978,0.6284038113435286,False
qwen,arith_ctx_054_untrusted_conflict,15,0.0,0.0,0.9836591250800868,a0.0_b0.0_confidence_gate,0.1422343174903199,0.6961741001064266,False
qwen,arith_ctx_054_untrusted_conflict,16,0.0,0.0,0.9915364345367288,a0.0_b0.0_confidence_gate,0.1422343174903199,0.6961741001064266,False
qwen,arith_ctx_054_untrusted_conflict,17,0.0,0.0,0.9703135552045404,a0.0_b0.0_confidence_gate,0.1422343174903199,0.6961741001064266,False
qwen,arith_ctx_054_untrusted_conflict,18,0.0,0.0,0.9827152278100952,a0.0_b0.0_confidence_gate,0.1422343174903199,0.6961741001064266,False
qwen,arith_ctx_054_untrusted_conflict,19,0.0,0.0,0.9879712739460342,a0.0_b0.0_confidence_gate,0.1422343174903199,0.6961741001064266,False
qwen,arith_ctx_054_asserted_conflict,15,0.0,0.0,0.9949032122389192,a0.0_b0.0_confidence_gate,0.2718916930755911,0.7387372779412631,False
qwen,arith_ctx_054_asserted_conflict,16,0.0,0.0,0.5301516872309006,a0.0_b0.0_confidence_gate,0.2718916930755911,0.7387372779412631,False
qwen,arith_ctx_054_asserted_conflict,17,0.0,0.0,0.7387923360554146,a0.0_b0.0_confidence_gate,0.2718916930755911,0.7387372779412631,False
qwen,arith_ctx_054_asserted_conflict,18,0.0,0.0,0.991377144885436,a0.0_b0.0_confidence_gate,0.2718916930755911,0.7387372779412631,False
qwen,arith_ctx_054_asserted_conflict,19,0.0,0.0,0.980441654764066,a0.0_b0.0_confidence_gate,0.2718916930755911,0.7387372779412631,False
qwen,arith_ctx_054_explicit_correction,15,1.0,0.6,0.4355873235610676,a1.0_b0.6,0.6698711306321594,0.7207530127985605,True
qwen,arith_ctx_054_explicit_correction,16,1.0,0.6,0.3118843639314217,a1.0_b0.6,0.6698711306321594,0.7207530127985605,True
qwen,arith_ctx_054_explicit_correction,17,0.0,0.0,0.3332078149644705,a0.0_b0.0,0.6698711306321594,0.7207530127985605,True
qwen,arith_ctx_054_explicit_correction,18,1.0,0.6,0.3673961294482608,a1.0_b0.6,0.6698711306321594,0.7207530127985605,True
