model,prompt_id,problem_group,condition,mechanism,consistent_label,distractor_label,baseline_top1_token_id,baseline_top1_class,baseline_consistent_minus_distractor_margin,baseline_task_coordinate,intervened_top1_token_id,intervened_top1_class,intervened_consistent_minus_distractor_margin,intervened_task_coordinate
llama,arith_ctx_019_untrusted_conflict,19,untrusted_conflict,competition,zero,twenty,17510,distractor,-1.65625,-2.902845859527588,17510,distractor,-1.65625,-2.902845859527588
llama,arith_ctx_019_asserted_conflict,19,asserted_conflict,competition,zero,twenty,17510,distractor,-1.71875,-2.975858449935913,17510,distractor,-1.71875,-2.975858449935913
llama,arith_ctx_019_explicit_correction,19,explicit_correction,closure,zero,twenty,17510,distractor,-1.71875,-2.925138235092163,17510,distractor,-1.71875,-2.925138235092163
llama,arith_ctx_019_final_recheck,19,final_recheck,closure,zero,twenty,17510,distractor,-1.546875,-2.739389419555664,17510,distractor,-3.078125,-4.321239948272705
llama,arith_ctx_021_clean,21,clean,stable,sixteen,fourteen,63360,distractor,-0.234375,0.5780701637268066,63360,distractor,-0.234375,0.5780701637268066
llama,arith_ctx_021_paraphrase,21,paraphrase,stable,sixteen,fourteen,63360,distractor,-1.234375,-0.44185471534729,63360,distractor,-1.234375,-0.44185471534729
llama,arith_ctx_021_untrusted_conflict,21,untrusted_conflict,competition,sixteen,fourteen,63360,distractor,-2.03125,-1.2645188570022583,63360,distractor,-2.03125,-1.2645188570022583
llama,arith_ctx_021_asserted_conflict,21,asserted_conflict,competition,sixteen,fourteen,63360,distractor,-2.265625,-1.493399143218994,63360,distractor,-2.265625,-1.493399143218994
llama,arith_ctx_021_explicit_correction,21,explicit_correction,closure,sixteen,fourteen,63360,distractor,-1.625,-0.8353545665740967,63360,distractor,-1.890625,-1.096508502960205
llama,arith_ctx_021_final_recheck,21,final_recheck,closure,sixteen,fourteen,63360,distractor,-2.8359375,-2.083554267883301,63360,distractor,-1.390625,-0.6017084121704102
llama,arith_ctx_029_clean,29,clean,stable,twelve,nine,11888,distractor,-0.578125,0.577057421207428,11888,distractor,-0.578125,0.577057421207428
llama,arith_ctx_029_paraphrase,29,paraphrase,stable,twelve,nine,11888,distractor,-1.53125,-0.3927539587020874,11888,distractor,-1.53125,-0.3927539587020874
llama,arith_ctx_029_untrusted_conflict,29,untrusted_conflict,competition,twelve,nine,11888,distractor,-1.65625,-0.587182879447937,11888,distractor,-1.65625,-0.587182879447937
llama,arith_ctx_029_asserted_conflict,29,asserted_conflict,competition,twelve,nine,11888,distractor,-2.5625,-1.4952678680419922,11888,distractor,-2.5625,-1.4952678680419922
llama,arith_ctx_029_explicit_correction,29,explicit_correction,closure,twelve,nine,11888,distractor,-0.96875,0.1241153180599212,11888,distractor,-3.421875,-2.357417583465576
llama,arith_ctx_029_final_recheck,29,final_recheck,closure,twelve,nine,11888,distractor,-3.40625,-2.3462443351745605,11888,distractor,-4.515625,-3.434782028198242
llama,arith_ctx_030_clean,30,clean,stable,ten,eleven,45314,distractor,-0.453125,0.5827205181121826,45314,distractor,-0.453125,0.5827205181121826
llama,arith_ctx_030_paraphrase,30,paraphrase,stable,ten,eleven,45314,distractor,-0.171875,0.8976349830627441,45314,distractor,-0.171875,0.8976349830627441
llama,arith_ctx_030_untrusted_conflict,30,untrusted_conflict,competition,ten,eleven,45314,distractor,-0.703125,0.3423051834106445,45314,distractor,-0.703125,0.3423051834106445
llama,arith_ctx_030_asserted_conflict,30,asserted_conflict,competition,ten,eleven,5899,consistent,0.484375,1.5672569274902344,5899,consistent,0.484375,1.5672569274902344
llama,arith_ctx_030_explicit_correction,30,explicit_correction,closure,ten,eleven,45314,distractor,-0.40625,0.6242579221725464,45314,distractor,-0.390625,0.6570285558700562
llama,arith_ctx_030_final_recheck,30,final_recheck,closure,ten,eleven,45314,distractor,-0.25,0.7851645946502686,45314,distractor,-0.390625,0.6211086511611938
llama,arith_ctx_034_clean,34,clean,stable,nineteen,one,832,distractor,-0.0625,0.5780701637268066,832,distractor,-0.0625,0.5780701637268066
llama,arith_ctx_034_paraphrase,34,paraphrase,stable,nineteen,one,94935,consistent,1.515625,2.221710205078125,94935,consistent,1.515625,2.221710205078125
llama,arith_ctx_034_untrusted_conflict,34,untrusted_conflict,competition,nineteen,one,832,distractor,-0.03125,0.62996906042099,832,distractor,-0.03125,0.62996906042099
llama,arith_ctx_034_asserted_conflict,34,asserted_conflict,competition,nineteen,one,832,distractor,-1.15625,-0.6061288118362427,832,distractor,-1.15625,-0.6061288118362427
llama,arith_ctx_034_explicit_correction,34,explicit_correction,closure,nineteen,one,4330,other,-0.09375,0.5852200388908386,832,distractor,-0.328125,0.3415173292160034
llama,arith_ctx_034_final_recheck,34,final_recheck,closure,nineteen,one,832,distractor,-0.1875,0.4754228591918945,832,distractor,-0.1875,0.4754228591918945
llama,arith_ctx_038_clean,38,clean,stable,thirteen,fifteen,37755,distractor,-2.203125,0.5766477584838867,37755,distractor,-2.203125,0.5766477584838867
llama,arith_ctx_038_paraphrase,38,paraphrase,stable,thirteen,fifteen,37755,distractor,-0.9375,1.943055272102356,37755,distractor,-0.9375,1.943055272102356
llama,arith_ctx_038_untrusted_conflict,38,untrusted_conflict,competition,thirteen,fifteen,37755,distractor,-2.015625,0.8045225143432617,37755,distractor,-2.015625,0.8045225143432617
llama,arith_ctx_038_asserted_conflict,38,asserted_conflict,competition,thirteen,fifteen,37755,distractor,-2.375,0.4438514411449432,37755,distractor,-2.375,0.4438514411449432
llama,arith_ctx_038_explicit_correction,38,explicit_correction,closure,thirteen,fifteen,37755,distractor,-1.609375,1.234550714492798,37755,distractor,-2.2578125,0.5505368113517761
llama,arith_ctx_038_final_recheck,38,final_recheck,closure,thirteen,fifteen,37755,distractor,-2.421875,0.3725231885910034,37755,distractor,-2.4921875,0.3310864567756653
llama,arith_ctx_040_clean,40,clean,stable,three,six,4848,distractor,-0.484375,0.5780701637268066,4848,distractor,-0.484375,0.5780701637268066
llama,arith_ctx_040_paraphrase,40,paraphrase,stable,three,six,4848,distractor,-0.203125,0.8766680955886841,4848,distractor,-0.203125,0.8766680955886841
llama,arith_ctx_040_untrusted_conflict,40,untrusted_conflict,competition,three,six,4848,distractor,-0.703125,0.3487453460693359,4848,distractor,-0.703125,0.3487453460693359
llama,arith_ctx_040_asserted_conflict,40,asserted_conflict,competition,three,six,4848,distractor,-0.765625,0.2647740244865417,4848,distractor,-0.765625,0.2647740244865417
llama,arith_ctx_040_explicit_correction,40,explicit_correction,closure,three,six,4330,other,-0.5,0.5763498544692993,4848,distractor,-1.40625,-0.3919095993041992
llama,arith_ctx_040_final_recheck,40,final_recheck,closure,three,six,4848,distractor,-0.140625,0.908703088760376,4848,distractor,-0.140625,0.908703088760376
llama,arith_ctx_043_clean,43,clean,stable,eighteen,seventeen,82497,distractor,-0.171875,0.5780701637268066,82497,distractor,-0.171875,0.5780701637268066
llama,arith_ctx_043_paraphrase,43,paraphrase,stable,eighteen,seventeen,82497,distractor,-1.203125,-0.4852199554443359,82497,distractor,-1.203125,-0.4852199554443359
llama,arith_ctx_043_untrusted_conflict,43,untrusted_conflict,competition,eighteen,seventeen,82497,distractor,-2.265625,-1.594981670379639,82497,distractor,-2.265625,-1.594981670379639
llama,arith_ctx_043_asserted_conflict,43,asserted_conflict,competition,eighteen,seventeen,82497,distractor,-2.75,-2.108352899551392,82497,distractor,-2.75,-2.108352899551392
llama,arith_ctx_043_explicit_correction,43,explicit_correction,closure,eighteen,seventeen,82497,distractor,-1.734375,-1.0482693910598757,82497,distractor,-1.734375,-1.0482693910598757
llama,arith_ctx_043_final_recheck,43,final_recheck,closure,eighteen,seventeen,82497,distractor,-3.5078125,-2.87208890914917,82497,distractor,-2.453125,-1.7640588283538818
llama,arith_ctx_048_clean,48,clean,stable,fourteen,fifteen,37755,distractor,-0.765625,0.5780701637268066,37755,distractor,-0.765625,0.5780701637268066
llama,arith_ctx_048_paraphrase,48,paraphrase,stable,fourteen,fifteen,63360,consistent,0.296875,1.6941204071044922,63360,consistent,0.296875,1.6941204071044922
llama,arith_ctx_048_untrusted_conflict,48,untrusted_conflict,competition,fourteen,fifteen,37755,distractor,-0.78125,0.5616893768310547,37755,distractor,-0.78125,0.5616893768310547
llama,arith_ctx_048_asserted_conflict,48,asserted_conflict,competition,fourteen,fifteen,37755,distractor,-1.265625,0.0821901559829711,37755,distractor,-1.265625,0.0821901559829711
llama,arith_ctx_048_explicit_correction,48,explicit_correction,closure,fourteen,fifteen,37755,distractor,-0.796875,0.5445051789283752,37755,distractor,-0.9375,0.3827419281005859
llama,arith_ctx_048_final_recheck,48,final_recheck,closure,fourteen,fifteen,37755,distractor,-0.578125,0.7872743606567383,37755,distractor,-1.234375,0.0787126421928405
llama,arith_ctx_051_clean,51,clean,stable,five,three,4330,consistent,0.5,0.5780701637268066,4330,consistent,0.5,0.5780701637268066
llama,arith_ctx_051_paraphrase,51,paraphrase,stable,five,three,4330,consistent,0.40625,0.4728575348854065,4330,consistent,0.40625,0.4728575348854065
llama,arith_ctx_051_untrusted_conflict,51,untrusted_conflict,competition,five,three,4330,consistent,0.015625,0.0610105395317077,4330,consistent,0.015625,0.0610105395317077
llama,arith_ctx_051_asserted_conflict,51,asserted_conflict,competition,five,three,2380,distractor,-0.265625,-0.2290997505187988,2380,distractor,-0.265625,-0.2290997505187988
llama,arith_ctx_051_explicit_correction,51,explicit_correction,closure,five,three,4330,consistent,0.8125,0.8691176176071167,4330,consistent,0.546875,0.6160653233528137
llama,arith_ctx_051_final_recheck,51,final_recheck,closure,five,three,2380,distractor,-1.09375,-1.0555404424667358,4330,consistent,0.65625,0.7878748774528503
llama,arith_ctx_054_clean,54,clean,stable,twenty,zero,7315,distractor,-0.6875,0.5780701637268066,7315,distractor,-0.6875,0.5780701637268066
llama,arith_ctx_054_paraphrase,54,paraphrase,stable,twenty,zero,17510,consistent,0.640625,1.909947395324707,17510,consistent,0.640625,1.909947395324707
llama,arith_ctx_054_untrusted_conflict,54,untrusted_conflict,competition,twenty,zero,17510,consistent,0.3125,1.578113317489624,17510,consistent,0.3125,1.578113317489624
llama,arith_ctx_054_asserted_conflict,54,asserted_conflict,competition,twenty,zero,7315,distractor,-0.296875,0.95779287815094,7315,distractor,-0.296875,0.95779287815094
llama,arith_ctx_054_explicit_correction,54,explicit_correction,closure,twenty,zero,17510,consistent,0.984375,2.278026580810547,17510,consistent,0.671875,1.969673991203308
llama,arith_ctx_054_final_recheck,54,final_recheck,closure,twenty,zero,17510,consistent,0.390625,1.6442261934280396,7315,distractor,-0.953125,0.2987866699695587
llama,arith_ctx_057_clean,57,clean,stable,sixteen,fourteen,59139,consistent,0.296875,0.5780701637268066,59139,consistent,0.296875,0.5780701637268066
llama,arith_ctx_057_paraphrase,57,paraphrase,stable,sixteen,fourteen,63360,distractor,-0.859375,-0.6245574951171875,63360,distractor,-0.859375,-0.6245574951171875
llama,arith_ctx_057_untrusted_conflict,57,untrusted_conflict,competition,sixteen,fourteen,63360,distractor,-1.90625,-1.6909265518188477,63360,distractor,-1.90625,-1.6909265518188477
llama,arith_ctx_057_asserted_conflict,57,asserted_conflict,competition,sixteen,fourteen,63360,distractor,-2.328125,-2.115150451660156,63360,distractor,-2.328125,-2.115150451660156
llama,arith_ctx_057_explicit_correction,57,explicit_correction,closure,sixteen,fourteen,63360,distractor,-1.515625,-1.289400935173035,63360,distractor,-2.8984375,-2.698309898376465
llama,arith_ctx_057_final_recheck,57,final_recheck,closure,sixteen,fourteen,63360,distractor,-2.265625,-2.062124013900757,63360,distractor,-1.7265625,-1.4979171752929688
gemma,arith_ctx_001_clean,1,clean,stable,two,one,974,distractor,-1.109375,-4.676151752471924,974,distractor,-1.109375,-4.676151752471924
gemma,arith_ctx_001_paraphrase,1,paraphrase,stable,two,one,974,distractor,-0.84375,-15.45412540435791,974,distractor,-0.84375,-15.45412540435791
gemma,arith_ctx_001_untrusted_conflict,1,untrusted_conflict,competition,two,one,974,distractor,-0.421875,-17.243370056152344,974,distractor,-1.984375,9.113945960998535
gemma,arith_ctx_001_asserted_conflict,1,asserted_conflict,competition,two,one,974,distractor,-0.609375,-17.653400421142578,974,distractor,-0.609375,-17.653400421142578
gemma,arith_ctx_001_explicit_correction,1,explicit_correction,closure,two,one,974,distractor,-0.703125,-18.478572845458984,974,distractor,-1.328125,-6.832332611083984
gemma,arith_ctx_001_final_recheck,1,final_recheck,closure,two,one,974,distractor,-1.015625,-9.72189712524414,974,distractor,-0.734375,-11.306997299194336
gemma,arith_ctx_002_clean,2,clean,stable,six,eight,4442,consistent,1.625,-4.531246185302734,4442,consistent,1.625,-4.531246185302734
gemma,arith_ctx_002_paraphrase,2,paraphrase,stable,six,eight,5231,other,0.71875,0.7913708686828613,5231,other,0.71875,0.7913708686828613
gemma,arith_ctx_002_untrusted_conflict,2,untrusted_conflict,competition,six,eight,4442,consistent,1.7109375,-2.956018447875977,4442,consistent,1.7109375,-2.956018447875977
gemma,arith_ctx_002_asserted_conflict,2,asserted_conflict,competition,six,eight,4442,consistent,1.609375,-4.1084980964660645,4442,consistent,1.609375,-4.1084980964660645
gemma,arith_ctx_002_explicit_correction,2,explicit_correction,closure,six,eight,4442,consistent,1.359375,2.632479667663574,4442,consistent,1.359375,2.632479667663574
gemma,arith_ctx_002_final_recheck,2,final_recheck,closure,six,eight,4442,consistent,2.2734375,-21.51729202270508,5231,other,1.1015625,6.561053276062012
gemma,arith_ctx_004_clean,4,clean,stable,eight,eleven,5231,other,0.1328125,-4.584150314331055,5231,other,0.1328125,-4.584150314331055
gemma,arith_ctx_004_paraphrase,4,paraphrase,stable,eight,eleven,5231,other,-1.5078125,14.373558044433594,5231,other,-1.5078125,14.373558044433594
gemma,arith_ctx_004_untrusted_conflict,4,untrusted_conflict,competition,eight,eleven,5231,other,0.96875,-14.402082443237305,5231,other,0.96875,-14.402082443237305
gemma,arith_ctx_004_asserted_conflict,4,asserted_conflict,competition,eight,eleven,5231,other,0.515625,-9.023996353149414,5231,other,0.515625,-9.023996353149414
gemma,arith_ctx_004_explicit_correction,4,explicit_correction,closure,eight,eleven,5231,other,0.53125,-14.64622402191162,5231,other,1.515625,-32.18675994873047
gemma,arith_ctx_004_final_recheck,4,final_recheck,closure,eight,eleven,5231,other,0.8828125,-18.332427978515625,5231,other,1.5078125,-49.97123718261719
gemma,arith_ctx_005_clean,5,clean,stable,twenty,seventeen,5231,other,-1.125,-4.584150314331055,5231,other,-1.125,-4.584150314331055
gemma,arith_ctx_005_paraphrase,5,paraphrase,stable,twenty,seventeen,5231,other,-0.890625,-19.931474685668945,5231,other,-0.890625,-19.931474685668945
gemma,arith_ctx_005_untrusted_conflict,5,untrusted_conflict,competition,twenty,seventeen,5231,other,-1.03125,2.4082179069519043,5231,other,-1.03125,2.4082179069519043
gemma,arith_ctx_005_asserted_conflict,5,asserted_conflict,competition,twenty,seventeen,5231,other,-0.140625,-12.43852996826172,5231,other,-0.140625,-12.43852996826172
gemma,arith_ctx_005_explicit_correction,5,explicit_correction,closure,twenty,seventeen,5231,other,-0.859375,-9.174155235290527,5231,other,-0.859375,-9.174155235290527
gemma,arith_ctx_005_final_recheck,5,final_recheck,closure,twenty,seventeen,5231,other,-1.53125,9.926713943481444,5231,other,-1.53125,9.926713943481444
gemma,arith_ctx_006_clean,6,clean,stable,seventeen,eighteen,5231,other,-0.59375,-4.584150314331055,5231,other,-0.59375,-4.584150314331055
gemma,arith_ctx_006_paraphrase,6,paraphrase,stable,seventeen,eighteen,5231,other,-0.890625,-4.585141181945801,5231,other,-0.890625,-4.585141181945801
gemma,arith_ctx_006_untrusted_conflict,6,untrusted_conflict,competition,seventeen,eighteen,5231,other,-0.1875,-11.385782241821287,5231,other,-0.1875,-11.385782241821287
gemma,arith_ctx_006_asserted_conflict,6,asserted_conflict,competition,seventeen,eighteen,5231,other,0.3828125,-21.471759796142575,5231,other,0.3828125,-21.471759796142575
gemma,arith_ctx_006_explicit_correction,6,explicit_correction,closure,seventeen,eighteen,5231,other,-0.171875,-12.088478088378906,5231,other,-0.171875,-12.088478088378906
gemma,arith_ctx_006_final_recheck,6,final_recheck,closure,seventeen,eighteen,5231,other,0.0390625,-16.692371368408203,5231,other,0.0390625,-16.692371368408203
gemma,arith_ctx_012_clean,12,clean,stable,seven,eight,5231,other,1.203125,-4.582867622375488,5231,other,1.203125,-4.582867622375488
gemma,arith_ctx_012_paraphrase,12,paraphrase,stable,seven,eight,5231,other,-0.28125,10.720232009887695,5231,other,-0.28125,10.720232009887695
gemma,arith_ctx_012_untrusted_conflict,12,untrusted_conflict,competition,seven,eight,6861,consistent,1.8828125,-17.275930404663086,6861,consistent,1.8828125,-17.275930404663086
gemma,arith_ctx_012_asserted_conflict,12,asserted_conflict,competition,seven,eight,6861,consistent,1.7578125,-16.890663146972656,6861,consistent,1.7578125,-16.890663146972656
gemma,arith_ctx_012_explicit_correction,12,explicit_correction,closure,seven,eight,6861,consistent,1.6640625,-11.058834075927734,6861,consistent,3.0859375,-33.74356842041016
gemma,arith_ctx_012_final_recheck,12,final_recheck,closure,seven,eight,5231,other,2.203125,-25.50261878967285,5231,other,2.203125,-25.50261878967285
gemma,arith_ctx_017_clean,17,clean,stable,thirteen,ten,5231,other,0.625,-4.471888065338135,5231,other,0.625,-4.471888065338135
gemma,arith_ctx_017_paraphrase,17,paraphrase,stable,thirteen,ten,5231,other,0.0,-6.686078071594238,5231,other,0.0,-6.686078071594238
gemma,arith_ctx_017_untrusted_conflict,17,untrusted_conflict,competition,thirteen,ten,5231,other,0.015625,8.574286460876465,5231,other,0.015625,8.574286460876465
gemma,arith_ctx_017_asserted_conflict,17,asserted_conflict,competition,thirteen,ten,5231,other,0.2890625,1.623361587524414,5231,other,0.2890625,1.623361587524414
gemma,arith_ctx_017_explicit_correction,17,explicit_correction,closure,thirteen,ten,5231,other,0.0703125,1.3059086799621582,5231,other,-1.0703125,14.182533264160156
gemma,arith_ctx_017_final_recheck,17,final_recheck,closure,thirteen,ten,5231,other,-0.7890625,12.215539932250977,5231,other,1.2265625,-22.67831039428711
gemma,arith_ctx_018_clean,18,clean,stable,seventeen,eighteen,5231,other,-0.984375,-4.50982666015625,5231,other,-0.984375,-4.50982666015625
gemma,arith_ctx_018_paraphrase,18,paraphrase,stable,seventeen,eighteen,5231,other,-0.625,-15.081713676452637,5231,other,-0.625,-15.081713676452637
gemma,arith_ctx_018_untrusted_conflict,18,untrusted_conflict,competition,seventeen,eighteen,5231,other,0.0,-20.58831024169922,5231,other,0.0,-20.58831024169922
gemma,arith_ctx_018_asserted_conflict,18,asserted_conflict,competition,seventeen,eighteen,5231,other,-0.5078125,-16.42068862915039,5231,other,-0.5078125,-16.42068862915039
gemma,arith_ctx_018_explicit_correction,18,explicit_correction,closure,seventeen,eighteen,5231,other,-0.4765625,-13.55769157409668,5231,other,0.3203125,-27.343713760375977
gemma,arith_ctx_018_final_recheck,18,final_recheck,closure,seventeen,eighteen,5231,other,-0.3359375,-22.2882080078125,5231,other,-0.3359375,-22.2882080078125
gemma,arith_ctx_019_clean,19,clean,stable,zero,twenty,8199,consistent,4.7734375,-4.4849724769592285,8199,consistent,4.7734375,-4.4849724769592285
gemma,arith_ctx_019_paraphrase,19,paraphrase,stable,zero,twenty,5231,other,2.390625,56.10020446777344,5231,other,2.390625,56.10020446777344
gemma,arith_ctx_019_untrusted_conflict,19,untrusted_conflict,competition,zero,twenty,8199,consistent,4.4921875,-6.507805824279785,8199,consistent,4.4921875,-6.507805824279785
gemma,arith_ctx_019_asserted_conflict,19,asserted_conflict,competition,zero,twenty,8199,consistent,4.421875,0.6927127838134766,8199,consistent,4.421875,0.6927127838134766
gemma,arith_ctx_019_explicit_correction,19,explicit_correction,closure,zero,twenty,8199,consistent,4.765625,9.858161926269531,8199,consistent,5.2265625,-1.5075805187225342
gemma,arith_ctx_019_final_recheck,19,final_recheck,closure,zero,twenty,8199,consistent,4.6640625,-7.217859268188477,8199,consistent,4.6640625,-7.217859268188477
gemma,arith_ctx_021_clean,21,clean,stable,sixteen,fourteen,5231,other,2.5859375,-4.049975395202637,5231,other,2.5859375,-4.049975395202637
gemma,arith_ctx_021_paraphrase,21,paraphrase,stable,sixteen,fourteen,5231,other,0.59375,23.476755142211918,5231,other,0.59375,23.476755142211918
gemma,arith_ctx_021_untrusted_conflict,21,untrusted_conflict,competition,sixteen,fourteen,5231,other,1.640625,19.776931762695312,5231,other,1.640625,19.776931762695312
gemma,arith_ctx_021_asserted_conflict,21,asserted_conflict,competition,sixteen,fourteen,5231,other,2.4375,5.541337966918945,5231,other,2.4375,5.541337966918945
gemma,arith_ctx_021_explicit_correction,21,explicit_correction,closure,sixteen,fourteen,47452,consistent,2.734375,-4.226518630981445,5231,other,1.40625,19.641040802001957
gemma,arith_ctx_021_final_recheck,21,final_recheck,closure,sixteen,fourteen,5231,other,1.796875,12.924264907836914,5231,other,1.796875,12.924264907836914
gemma,arith_ctx_029_clean,29,clean,stable,twelve,nine,20779,consistent,3.7421875,-4.701172351837158,20779,consistent,3.7421875,-4.701172351837158
gemma,arith_ctx_029_paraphrase,29,paraphrase,stable,twelve,nine,5231,other,1.640625,15.572237014770508,5231,other,1.640625,15.572237014770508
gemma,arith_ctx_029_untrusted_conflict,29,untrusted_conflict,competition,twelve,nine,5231,other,1.828125,29.114599227905277,5231,other,1.828125,29.114599227905277
gemma,arith_ctx_029_asserted_conflict,29,asserted_conflict,competition,twelve,nine,5231,other,2.296875,19.15044593811035,5231,other,2.296875,19.15044593811035
gemma,arith_ctx_029_explicit_correction,29,explicit_correction,closure,twelve,nine,20779,consistent,2.984375,8.560796737670898,20779,consistent,2.984375,8.560796737670898
gemma,arith_ctx_029_final_recheck,29,final_recheck,closure,twelve,nine,5231,other,0.9140625,46.688270568847656,5231,other,0.9140625,46.688270568847656
gemma,arith_ctx_030_clean,30,clean,stable,ten,eleven,5231,other,-0.7578125,-4.34959077835083,5231,other,-0.7578125,-4.34959077835083
gemma,arith_ctx_030_paraphrase,30,paraphrase,stable,ten,eleven,5231,other,-0.9140625,-3.2252955436706543,5231,other,-0.9140625,-3.2252955436706543
gemma,arith_ctx_030_untrusted_conflict,30,untrusted_conflict,competition,ten,eleven,5231,other,-1.0703125,0.5137505531311035,5231,other,-1.0703125,0.5137505531311035
gemma,arith_ctx_030_asserted_conflict,30,asserted_conflict,competition,ten,eleven,5231,other,-0.78125,-6.375537395477295,5231,other,-0.78125,-6.375537395477295
gemma,arith_ctx_030_explicit_correction,30,explicit_correction,closure,ten,eleven,29754,distractor,-0.8046875,-3.020557641983032,5231,other,-0.6171875,-1.9128780364990237
gemma,arith_ctx_030_final_recheck,30,final_recheck,closure,ten,eleven,5231,other,-0.5,-2.7802906036376958,5231,other,-1.1953125,15.37644386291504
gemma,arith_ctx_034_clean,34,clean,stable,nineteen,one,5231,other,-1.375,-4.584150314331055,5231,other,-1.375,-4.584150314331055
gemma,arith_ctx_034_paraphrase,34,paraphrase,stable,nineteen,one,5231,other,-1.84375,5.692222595214844,5231,other,-1.84375,5.692222595214844
gemma,arith_ctx_034_untrusted_conflict,34,untrusted_conflict,competition,nineteen,one,5231,other,-1.4453125,-11.491491317749023,5231,other,-0.984375,-3.9754579067230233
gemma,arith_ctx_034_asserted_conflict,34,asserted_conflict,competition,nineteen,one,5231,other,-1.6328125,-0.6397109031677246,5231,other,-1.6328125,-0.6397109031677246
gemma,arith_ctx_034_explicit_correction,34,explicit_correction,closure,nineteen,one,5231,other,-1.4609375,-9.861288070678713,974,distractor,-1.4765625,-13.447809219360352
gemma,arith_ctx_034_final_recheck,34,final_recheck,closure,nineteen,one,5231,other,-2.8359375,6.382830619812012,5231,other,-2.8359375,6.382830619812012
gemma,arith_ctx_038_clean,38,clean,stable,thirteen,fifteen,5231,other,0.5703125,-4.523312568664551,5231,other,0.5703125,-4.523312568664551
gemma,arith_ctx_038_paraphrase,38,paraphrase,stable,thirteen,fifteen,5231,other,0.0234375,-0.1892285346984863,5231,other,0.0234375,-0.1892285346984863
gemma,arith_ctx_038_untrusted_conflict,38,untrusted_conflict,competition,thirteen,fifteen,5231,other,1.046875,-13.602054595947266,5231,other,1.046875,-13.602054595947266
gemma,arith_ctx_038_asserted_conflict,38,asserted_conflict,competition,thirteen,fifteen,5231,other,0.53125,-5.916103363037109,5231,other,0.53125,-5.916103363037109
gemma,arith_ctx_038_explicit_correction,38,explicit_correction,closure,thirteen,fifteen,5231,other,1.1796875,-15.378070831298828,5231,other,1.359375,-20.450056076049805
gemma,arith_ctx_038_final_recheck,38,final_recheck,closure,thirteen,fifteen,5231,other,0.7421875,-14.259631156921388,5231,other,-0.1796875,2.7884812355041504
gemma,arith_ctx_040_clean,40,clean,stable,three,six,2149,consistent,2.53125,-4.584150314331055,2149,consistent,2.53125,-4.584150314331055
gemma,arith_ctx_040_paraphrase,40,paraphrase,stable,three,six,5231,other,0.625,13.028160095214844,5231,other,0.625,13.028160095214844
gemma,arith_ctx_040_untrusted_conflict,40,untrusted_conflict,competition,three,six,2149,consistent,2.0546875,3.126119613647461,2149,consistent,2.0546875,3.126119613647461
gemma,arith_ctx_040_asserted_conflict,40,asserted_conflict,competition,three,six,2149,consistent,1.8984375,-1.7522742748260498,2149,consistent,1.8984375,-1.7522742748260498
gemma,arith_ctx_040_explicit_correction,40,explicit_correction,closure,three,six,2149,consistent,2.3515625,-11.895179748535156,5231,other,3.5703125,-32.340415954589844
gemma,arith_ctx_040_final_recheck,40,final_recheck,closure,three,six,2149,consistent,2.3984375,-7.620786666870117,5231,other,2.015625,0.4199948310852051
gemma,arith_ctx_043_clean,43,clean,stable,eighteen,seventeen,5231,other,2.3125,-4.804469108581543,5231,other,2.3125,-4.804469108581543
gemma,arith_ctx_043_paraphrase,43,paraphrase,stable,eighteen,seventeen,5231,other,1.1171875,5.236122131347656,5231,other,1.1171875,5.236122131347656
gemma,arith_ctx_043_untrusted_conflict,43,untrusted_conflict,competition,eighteen,seventeen,5231,other,1.9140625,8.154548645019531,5231,other,1.9140625,8.154548645019531
gemma,arith_ctx_043_asserted_conflict,43,asserted_conflict,competition,eighteen,seventeen,5231,other,2.34375,1.849703311920166,5231,other,2.34375,1.849703311920166
gemma,arith_ctx_043_explicit_correction,43,explicit_correction,closure,eighteen,seventeen,5231,other,2.484375,-1.6049795150756836,5231,other,2.0546875,7.674288749694824
gemma,arith_ctx_043_final_recheck,43,final_recheck,closure,eighteen,seventeen,5231,other,0.9375,23.248130798339844,5231,other,0.1875,31.89207649230957
gemma,arith_ctx_048_clean,48,clean,stable,fourteen,fifteen,5231,other,0.921875,-4.584150314331055,5231,other,0.921875,-4.584150314331055
gemma,arith_ctx_048_paraphrase,48,paraphrase,stable,fourteen,fifteen,5231,other,0.0078125,3.102708339691162,5231,other,0.0078125,3.102708339691162
gemma,arith_ctx_048_untrusted_conflict,48,untrusted_conflict,competition,fourteen,fifteen,5231,other,0.765625,-3.605404138565064,5231,other,0.2265625,3.039846897125244
gemma,arith_ctx_048_asserted_conflict,48,asserted_conflict,competition,fourteen,fifteen,5231,other,0.625,-2.914681911468506,5231,other,0.625,-2.914681911468506
gemma,arith_ctx_048_explicit_correction,48,explicit_correction,closure,fourteen,fifteen,5231,other,1.15625,-11.37590789794922,5231,other,0.796875,-5.786922454833984
gemma,arith_ctx_048_final_recheck,48,final_recheck,closure,fourteen,fifteen,5231,other,0.625,-5.942811965942383,5231,other,0.484375,-3.0075056552886963
gemma,arith_ctx_051_clean,51,clean,stable,five,three,5231,other,1.8984375,-4.471375942230225,5231,other,1.8984375,-4.471375942230225
gemma,arith_ctx_051_paraphrase,51,paraphrase,stable,five,three,5231,other,0.46875,30.93003273010254,5231,other,0.46875,30.93003273010254
